Date,Image Name,Resolution,Size (bytes),Image Path,Brisque_Score,Quality_Assessment
03-05-2023,03-05-2023/100020069_2023-05-02_2.jpg,480 x 640,28961,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100020069_2023-05-02_2.jpg"")",24.49337607859499,Good quality and clarity
03-05-2023,03-05-2023/100031145_2023-05-02_2.jpg,360 x 480,21701,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100031145_2023-05-02_2.jpg"")",15.313988688118087,Good quality and clarity
03-05-2023,03-05-2023/100035540_2023-05-02_2.jpg,480 x 1039,48700,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100035540_2023-05-02_2.jpg"")",44.49952871368063,Poor quality and clarity
03-05-2023,03-05-2023/100035554_2023-05-02_2.jpg,480 x 1034,31173,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100035554_2023-05-02_2.jpg"")",41.82214540100833,Poor quality and clarity
03-05-2023,03-05-2023/100035620_2023-05-02_2.jpg,480 x 1040,74121,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100035620_2023-05-02_2.jpg"")",30.460483318129576,Poor quality and clarity
03-05-2023,03-05-2023/100035638_2023-05-02_2.jpg,270 x 480,25660,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100035638_2023-05-02_2.jpg"")",24.69633766497722,Good quality and clarity
03-05-2023,03-05-2023/100035701_2023-05-02_2.jpg,360 x 480,31676,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100035701_2023-05-02_2.jpg"")",22.532253801246014,Good quality and clarity
03-05-2023,03-05-2023/100035757_2023-05-02_2.jpg,480 x 640,44285,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100035757_2023-05-02_2.jpg"")",29.0129617510797,Good quality and clarity
03-05-2023,03-05-2023/100035769_2023-05-02_2.jpg,215 x 480,4324,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100035769_2023-05-02_2.jpg"")",55.60354429917774,Poor quality and clarity
03-05-2023,03-05-2023/100036044_2023-05-02_2.jpg,480 x 480,44917,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100036044_2023-05-02_2.jpg"")",28.238041737409475,Good quality and clarity
03-05-2023,03-05-2023/100036090_2023-05-02_2.jpg,270 x 480,23797,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100036090_2023-05-02_2.jpg"")",19.620291873626314,Good quality and clarity
03-05-2023,03-05-2023/100036095_2023-05-02_2.jpg,480 x 640,54001,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100036095_2023-05-02_2.jpg"")",23.84038599525249,Good quality and clarity
03-05-2023,03-05-2023/100036266_2023-05-02_2.jpg,480 x 640,47729,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100036266_2023-05-02_2.jpg"")",17.5928788782779,Good quality and clarity
03-05-2023,03-05-2023/100036280_2023-05-02_2.jpg,480 x 640,46281,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100036280_2023-05-02_2.jpg"")",25.332097586155754,Good quality and clarity
03-05-2023,03-05-2023/100036363_2023-05-02_2.jpg,480 x 1066,76483,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100036363_2023-05-02_2.jpg"")",22.000638020138894,Good quality and clarity
03-05-2023,03-05-2023/100038060_2023-05-02_2.jpg,360 x 480,30017,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100038060_2023-05-02_2.jpg"")",28.911484661158482,Good quality and clarity
03-05-2023,03-05-2023/100039833_2023-05-02_2.jpg,480 x 640,51148,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100039833_2023-05-02_2.jpg"")",24.02840471896181,Good quality and clarity
03-05-2023,03-05-2023/100039846_2023-05-02_2.jpg,480 x 640,49450,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100039846_2023-05-02_2.jpg"")",23.717672623126845,Good quality and clarity
03-05-2023,03-05-2023/100040005_2023-05-02_2.jpg,480 x 640,38715,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100040005_2023-05-02_2.jpg"")",17.999168222945713,Good quality and clarity
03-05-2023,03-05-2023/100046455_2023-05-02_2.jpg,480 x 640,3450,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100046455_2023-05-02_2.jpg"")",102.12537772020116,Poor quality and clarity
03-05-2023,03-05-2023/100047460_2023-05-02_2.jpg,360 x 480,31528,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100047460_2023-05-02_2.jpg"")",27.434995474909073,Good quality and clarity
03-05-2023,03-05-2023/100047688_2023-05-02_2.jpg,215 x 480,14405,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100047688_2023-05-02_2.jpg"")",19.374592847155185,Good quality and clarity
03-05-2023,03-05-2023/100049446_2023-05-02_2.jpg,480 x 640,3052,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100049446_2023-05-02_2.jpg"")",108.70526971960746,Poor quality and clarity
03-05-2023,03-05-2023/100051203_2023-05-02_2.jpg,480 x 360,31962,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100051203_2023-05-02_2.jpg"")",18.827393963086564,Good quality and clarity
03-05-2023,03-05-2023/100053439_2023-05-02_2.jpg,216 x 480,16860,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100053439_2023-05-02_2.jpg"")",20.707599001853936,Good quality and clarity
03-05-2023,03-05-2023/100053498_2023-05-02_2.jpg,480 x 640,38025,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100053498_2023-05-02_2.jpg"")",21.047150338452724,Good quality and clarity
03-05-2023,03-05-2023/100055160_2023-05-02_2.jpg,480 x 640,41852,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100055160_2023-05-02_2.jpg"")",19.241920572670637,Good quality and clarity
03-05-2023,03-05-2023/100055301_2023-05-02_2.jpg,480 x 640,34782,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100055301_2023-05-02_2.jpg"")",31.681260439277906,Poor quality and clarity
03-05-2023,03-05-2023/100056947_2023-05-02_2.jpg,480 x 640,51043,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100056947_2023-05-02_2.jpg"")",27.761786115772992,Good quality and clarity
03-05-2023,03-05-2023/100062139_2023-05-02_2.jpg,480 x 640,30292,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100062139_2023-05-02_2.jpg"")",25.942875627260577,Good quality and clarity
03-05-2023,03-05-2023/100068133_2023-05-02_2.jpg,480 x 360,4872,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100068133_2023-05-02_2.jpg"")",72.57399925088234,Poor quality and clarity
03-05-2023,03-05-2023/100070323_2023-05-02_2.jpg,480 x 360,32495,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100070323_2023-05-02_2.jpg"")",18.1135605177777,Good quality and clarity
03-05-2023,03-05-2023/100070381_2023-05-02_2.jpg,480 x 642,38155,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100070381_2023-05-02_2.jpg"")",32.51860551178103,Poor quality and clarity
03-05-2023,03-05-2023/100072176_2023-05-02_2.jpg,480 x 640,60298,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100072176_2023-05-02_2.jpg"")",35.580213895142236,Poor quality and clarity
03-05-2023,03-05-2023/100076759_2023-05-02_2.jpg,480 x 637,51668,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100076759_2023-05-02_2.jpg"")",28.77355546226474,Good quality and clarity
03-05-2023,03-05-2023/100078639_2023-05-02_2.jpg,360 x 480,27462,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100078639_2023-05-02_2.jpg"")",16.79102414839437,Good quality and clarity
03-05-2023,03-05-2023/100080414_2023-05-02_2.jpg,480 x 640,2978,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100080414_2023-05-02_2.jpg"")",103.42588577702915,Poor quality and clarity
