Sl.No,Actual,Prediction,Combination,Suggestion/Improvement
1,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
2,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
3,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
4,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
5,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
6,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
7,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
8,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
9,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
10,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
11,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
12,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
13,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
14,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
15,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
16,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
17,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
18,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
19,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
20,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
21,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
22,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
23,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
24,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
25,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
26,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
27,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
28,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
29,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
30,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
31,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
32,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
33,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
34,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
35,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
36,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
37,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
38,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
39,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
40,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
41,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
42,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
43,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
44,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
45,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
46,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
47,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
48,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
49,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
50,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
51,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
52,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
53,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
54,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
55,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
56,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
57,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
58,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
59,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
60,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
61,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
62,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
63,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
64,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
65,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
66,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
67,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
68,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
69,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
70,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
71,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
72,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
73,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
74,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
75,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
76,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
77,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
78,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
79,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
80,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
81,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
82,0,1,False Positives,Reduce false positives by adjusting the classification threshold or improving the model's specificity.
83,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
84,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
85,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
86,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
87,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
88,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
89,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
90,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
91,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
92,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
93,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
94,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
95,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
96,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
97,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
98,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
99,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
100,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
101,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
102,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
103,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
104,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
105,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
106,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
107,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
108,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
109,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
110,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
111,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
112,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
113,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
114,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
115,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
116,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
